,index,cycle,ambient_temperature,datetime,capacity,battery
0,0,1,24,2008-04-02 15:25:41,1.8564874208181574,B0005
1,1,2,24,2008-04-02 19:43:48,1.846327249719927,B0005
2,2,3,24,2008-04-03 00:01:06,1.8353491942234077,B0005
3,3,4,24,2008-04-03 04:16:37,1.8352625275821128,B0005
4,4,5,24,2008-04-03 08:33:25,1.8346455082120419,B0005
5,5,6,24,2008-04-03 12:55:10,1.8356616600675495,B0005
6,6,7,24,2008-04-03 17:17:16,1.8351461429226603,B0005
7,7,8,24,2008-04-03 21:28:14,1.8257567905665537,B0005
8,8,9,24,2008-04-04 01:38:15,1.8247738529891333,B0005
9,9,10,24,2008-04-04 05:48:08,1.824613268496936,B0005
10,10,11,24,2008-04-04 09:57:19,1.8246195526864504,B0005
11,11,12,24,2008-04-04 17:56:27,1.8142019357673917,B0005
12,12,13,24,2008-04-04 22:01:54,1.8137521577549054,B0005
13,13,14,24,2008-04-05 02:20:26,1.8134404914735822,B0005
14,14,15,24,2008-04-05 06:25:01,1.8025980036306504,B0005
15,15,16,24,2008-04-05 10:30:32,1.80210690024615,B0005
16,16,17,24,2008-04-05 14:34:41,1.802579500826209,B0005
17,17,18,24,2008-04-05 18:39:25,1.8030683142834096,B0005
18,18,19,24,2008-04-05 22:46:35,1.8027776247196041,B0005
19,19,20,24,2008-04-18 21:10:19,1.8470259949329193,B0005
20,20,21,24,2008-04-19 02:29:09,1.847417311283644,B0005
21,21,22,24,2008-04-19 07:47:15,1.8361774213478947,B0005
22,22,23,24,2008-04-19 13:01:42,1.8257807475776242,B0005
23,23,24,24,2008-04-19 18:27:29,1.8251136435078368,B0005
24,24,25,24,2008-04-19 23:41:55,1.8255815042203762,B0005
25,25,26,24,2008-04-20 04:54:41,1.8140311275083907,B0005
26,26,27,24,2008-04-20 10:16:28,1.8147691941158939,B0005
27,27,28,24,2008-04-20 15:37:05,1.813969388710352,B0005
28,28,29,24,2008-04-20 20:50:38,1.802765665167823,B0005
29,29,30,24,2008-04-21 02:15:02,1.804077040117352,B0005
30,30,31,24,2008-04-22 15:33:49,1.8518025516704486,B0005
31,31,32,24,2008-04-22 20:26:18,1.8307038456739428,B0005
32,32,33,24,2008-04-23 01:18:11,1.8199041089501267,B0005
33,33,34,24,2008-04-23 06:18:19,1.8093079637028517,B0005
34,34,35,24,2008-04-23 11:08:00,1.80460990458052,B0005
35,35,36,24,2008-04-23 16:06:25,1.7993770651972192,B0005
36,36,37,24,2008-04-23 21:02:58,1.7884432335370462,B0005
37,37,38,24,2008-04-24 01:51:33,1.7829230484252723,B0005
38,38,39,24,2008-04-24 06:50:00,1.7730337158018288,B0005
39,39,40,24,2008-04-24 11:49:24,1.773037755078937,B0005
40,40,41,24,2008-04-24 16:45:56,1.7678721106662054,B0005
41,41,42,24,2008-04-24 21:38:11,1.7623150704093087,B0005
42,42,43,24,2008-04-25 12:03:44,1.7676172924938447,B0005
43,43,44,24,2008-04-25 20:03:55,1.762668359743147,B0005
44,44,45,24,2008-04-26 01:04:35,1.7517304870664143,B0005
45,45,46,24,2008-04-26 05:57:35,1.7418496047960008,B0005
46,46,47,24,2008-04-26 10:58:25,1.7360913511847138,B0005
47,47,48,24,2008-04-29 12:15:56,1.7936240148573608,B0005
48,48,49,24,2008-04-29 17:05:27,1.7831890223273275,B0005
49,49,50,24,2008-04-29 22:00:04,1.7673642076278957,B0005
