System S/N,Module S/N,State,Alert Type,Detail
497-71-5189,1-4715-1230-4,Warning,Thermal Runaway, 
497-71-5189,1-915305-17-9,Good,Casing Rupture, 
497-71-5189,0-11-148424-3,Warning,Cathode Decomposition, 
497-71-5189,1-309-85898-5,Severe,Li Plating, 
497-71-5189,0-7982-4425-9,Good,Thermal Runaway, 
497-71-5189,0-7800-7606-0,Severe,Casing Rupture, 
497-71-5189,1-966305-99-0,Severe,Casing Rupture, 
497-71-5189,0-430-68525-4,Good,Overdischarge, 
497-71-5189,0-384-01186-1,Severe,Overdischarge, 
497-71-5189,0-696-72864-8,Warning,Li Plating, 
497-71-5189,0-9579169-2-2,Warning,Cathode Oxygen Release, 
497-71-5189,1-221-08186-1,Severe,Thermal Runaway, 
497-71-5189,0-7258-2278-3,Severe,Overcharge, 
497-71-5189,1-227-65868-0,Good,Casing Rupture, 
497-71-5189,0-418-18922-6,Warning,Impedence, 
497-71-5189,1-4705-7731-3,Warning,Overcharge, 
497-71-5189,1-5435-2380-3,Good,Cathode Oxygen Release, 
497-71-5189,0-476-47744-1,Warning,Overdischarge, 
497-71-5189,1-57823-410-7,Severe,Thermal Runaway, 
497-71-5189,0-580-03268-X,Good,Anode Decomposition, 
497-71-5189,0-908289-71-5,Warning,Overdischarge, 
497-71-5189,1-945361-37-9,Good,Overdischarge, 
497-71-5189,1-02-749807-8,Warning,Li Plating, 
497-71-5189,0-17-293599-7,Severe,Electrolyte Oxidation, 
497-71-5189,0-647-05541-4,Severe,Thermal Runaway, 
497-71-5189,1-64468-073-4,Good,Overdischarge, 
497-71-5189,0-317-28631-5,Severe,Li Plating, 
497-71-5189,1-61964-927-6,Severe,Anode Decomposition, 
497-71-5189,1-66360-123-2,Severe,Thermal Runaway, 
497-71-5189,1-58132-191-0,Good,Anode Decomposition, 
497-71-5189,1-202-33362-1,Good,Overdischarge, 
497-71-5189,0-09-229610-6,Good,Cathode Oxygen Release, 
497-71-5189,0-7972-8678-0,Good,Electrolyte Oxidation, 
497-71-5189,0-16-610812-X,Severe,Casing Rupture, 
497-71-5189,0-277-54354-1,Good,Impedence, 
497-71-5189,1-5050-4994-6,Warning,Overdischarge, 
497-71-5189,1-4918-9575-6,Severe,Anode Decomposition, 
497-71-5189,1-60747-051-9,Good,Impedence, 
497-71-5189,0-7413-4973-6,Warning,Electrolyte Oxidation, 
497-71-5189,0-01-375559-5,Warning,Electrolyte Oxidation, 
497-71-5189,0-620-56583-7,Severe,Thermal Runaway, 
497-71-5189,0-16-110190-9,Severe,Li Plating, 
497-71-5189,0-7758-7167-2,Severe,Impedence, 
497-71-5189,1-4907-3210-1,Warning,Electrolyte Oxidation, 
497-71-5189,1-357-28872-7,Good,Anode Decomposition, 
497-71-5189,0-8404-2984-3,Severe,Impedence, 
497-71-5189,1-331-45906-0,Good,Electrolyte Oxidation, 
497-71-5189,1-75528-572-8,Warning,Casing Rupture, 
497-71-5189,1-177-60132-X,Good,Electrolyte Oxidation, 
497-71-5189,0-284-07671-6,Good,Cathode Decomposition, 
497-71-5189,1-4840-9207-4,Good,Anode Decomposition, 
497-71-5189,0-14-792061-2,Good,Electrolyte Oxidation, 
